city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
225,Pangnirtung,CA,66.1451,-65.7125,16.23,71,100,5.35,overcast clouds
226,Manuk Mangkaw,PH,4.8,119.85,82.92,73,94,11.43,overcast clouds
227,Suwannaphum,TH,15.6035,103.8021,75.85,57,77,24.14,broken clouds
228,Norman Wells,CA,65.282,-126.8329,-5.53,98,100,7.0,overcast clouds
229,Lorengau,PG,-2.0226,147.2712,82.72,75,68,4.36,broken clouds
230,Stephenville,US,32.2207,-98.2023,41.13,55,0,4.61,clear sky
231,Vestmanna,FO,62.1564,-7.1664,27.52,93,75,19.57,snow
232,Iuna,BR,-20.3458,-41.5358,64.4,96,80,2.55,broken clouds
233,Capilla De Guadalupe,MX,20.8333,-102.5833,55.8,30,100,3.13,overcast clouds
234,Chuy,UY,-33.6971,-53.4616,63.77,60,69,11.39,broken clouds
235,Torbay,CA,47.6666,-52.7314,36.57,89,100,15.99,overcast clouds
236,Darnah,LY,32.767,22.6367,67.06,55,86,16.53,overcast clouds
237,Alta Floresta,BR,-9.8756,-56.0861,69.49,95,83,1.83,moderate rain
238,Khatanga,RU,71.9667,102.5,-1.8,97,100,5.93,overcast clouds
239,Victoria,HK,22.2855,114.1577,57.33,67,100,1.99,overcast clouds
240,Lagoa,PT,39.05,-27.9833,63.73,80,100,29.35,overcast clouds
241,Padang,ID,-0.9492,100.3543,84.25,71,61,3.13,broken clouds
242,San Cristobal,VE,7.7669,-72.225,64.09,93,19,1.34,few clouds
243,Kaspiyskiy,RU,45.3929,47.3707,31.23,89,2,3.11,clear sky
244,Camapua,BR,-19.5314,-54.0439,69.62,90,81,2.28,moderate rain
245,Karakol,KG,42.4907,78.3936,24.21,64,100,5.14,overcast clouds
246,Nakamura,JP,32.9833,132.9333,44.56,92,100,3.49,light rain
247,Grand Gaube,MU,-20.0064,57.6608,78.39,68,22,8.99,few clouds
248,Waipawa,NZ,-41.4122,175.5153,61.63,93,100,2.48,overcast clouds
249,Khani,GE,41.9563,42.9566,35.17,75,12,6.53,few clouds
250,Pljevlja,ME,43.3333,19.3333,53.85,85,100,13.96,overcast clouds
251,Sept-Iles,CA,50.2001,-66.3821,27.12,93,100,8.05,overcast clouds
252,Prainha,BR,-1.8,-53.48,80.19,68,82,3.91,broken clouds
253,Anadyr,RU,64.75,177.4833,20.5,85,51,11.48,broken clouds
